country,value,is_malaysia
Samoa,34.4,False
Kiribati,30.6,False
Namibia,25.8,False
Vanuatu,22.8,False
Seychelles,18.0,False
Jamaica,17.9,False
Dominican Republic,17.2,False
Peru,17.0,False
Argentina,15.1,False
Trinidad and Tobago,14.5,False
Wallis and Futuna,14.2,False
Suriname,13.4,False
Barabados,12.9,False
Benin,12.9,False
Thailand,12.7,False
Mauritus,12.1,False
Bhutan,11.2,False
Fiji Islands,10.9,False
Tuvalu,10.0,False
Nepal,9.7,False
Mongolia,9.2,False
Uruguay,9.1,False
Timor-Leste,8.8,False
Malaysia,6.6,True
Brunei Darussalam,6.1,False
Laos,5.3,False
Indonesia,3.6,False
