country,code,year,prevalence,is_malaysia
Brunei,BRN,1990,2.578,False
Brunei,BRN,1991,2.563,False
Brunei,BRN,1992,2.551,False
Brunei,BRN,1993,2.544,False
Brunei,BRN,1994,2.538,False
Brunei,BRN,1995,2.538,False
Brunei,BRN,1996,2.542,False
Brunei,BRN,1997,2.546,False
Brunei,BRN,1998,2.551,False
Brunei,BRN,1999,2.555,False
Brunei,BRN,2000,2.556,False
Brunei,BRN,2001,2.56,False
Brunei,BRN,2002,2.563,False
Brunei,BRN,2003,2.565,False
Brunei,BRN,2004,2.565,False
Brunei,BRN,2005,2.564,False
Brunei,BRN,2006,2.558,False
Brunei,BRN,2007,2.547,False
Brunei,BRN,2008,2.536,False
Brunei,BRN,2009,2.525,False
Brunei,BRN,2010,2.521,False
Brunei,BRN,2011,2.52,False
Brunei,BRN,2012,2.521,False
Brunei,BRN,2013,2.524,False
Brunei,BRN,2014,2.528,False
Brunei,BRN,2015,2.537,False
Brunei,BRN,2016,2.548,False
Brunei,BRN,2017,2.562,False
Cambodia,KHM,1990,3.161,False
Cambodia,KHM,1991,3.182,False
Cambodia,KHM,1992,3.198,False
Cambodia,KHM,1993,3.213,False
Cambodia,KHM,1994,3.22,False
Cambodia,KHM,1995,3.225,False
Cambodia,KHM,1996,3.222,False
Cambodia,KHM,1997,3.216,False
Cambodia,KHM,1998,3.208,False
Cambodia,KHM,1999,3.2,False
Cambodia,KHM,2000,3.193,False
Cambodia,KHM,2001,3.184,False
Cambodia,KHM,2002,3.175,False
Cambodia,KHM,2003,3.167,False
Cambodia,KHM,2004,3.159,False
Cambodia,KHM,2005,3.152,False
Cambodia,KHM,2006,3.145,False
Cambodia,KHM,2007,3.138,False
Cambodia,KHM,2008,3.13,False
Cambodia,KHM,2009,3.125,False
Cambodia,KHM,2010,3.118,False
Cambodia,KHM,2011,3.115,False
Cambodia,KHM,2012,3.111,False
Cambodia,KHM,2013,3.108,False
Cambodia,KHM,2014,3.104,False
Cambodia,KHM,2015,3.101,False
Cambodia,KHM,2016,3.097,False
Cambodia,KHM,2017,3.095,False
Indonesia,IDN,1990,2.632,False
Indonesia,IDN,1991,2.627,False
Indonesia,IDN,1992,2.622,False
Indonesia,IDN,1993,2.619,False
Indonesia,IDN,1994,2.616,False
Indonesia,IDN,1995,2.616,False
Indonesia,IDN,1996,2.617,False
Indonesia,IDN,1997,2.618,False
Indonesia,IDN,1998,2.62,False
Indonesia,IDN,1999,2.622,False
Indonesia,IDN,2000,2.623,False
Indonesia,IDN,2001,2.626,False
Indonesia,IDN,2002,2.628,False
Indonesia,IDN,2003,2.632,False
Indonesia,IDN,2004,2.634,False
Indonesia,IDN,2005,2.635,False
Indonesia,IDN,2006,2.632,False
Indonesia,IDN,2007,2.626,False
Indonesia,IDN,2008,2.618,False
Indonesia,IDN,2009,2.612,False
Indonesia,IDN,2010,2.61,False
Indonesia,IDN,2011,2.611,False
Indonesia,IDN,2012,2.612,False
Indonesia,IDN,2013,2.616,False
Indonesia,IDN,2014,2.62,False
Indonesia,IDN,2015,2.626,False
Indonesia,IDN,2016,2.633,False
Indonesia,IDN,2017,2.643,False
Laos,LAO,1990,2.9,False
Laos,LAO,1991,2.926,False
Laos,LAO,1992,2.948,False
Laos,LAO,1993,2.962,False
Laos,LAO,1994,2.972,False
Laos,LAO,1995,2.975,False
Laos,LAO,1996,2.967,False
Laos,LAO,1997,2.948,False
Laos,LAO,1998,2.923,False
Laos,LAO,1999,2.9,False
Laos,LAO,2000,2.888,False
Laos,LAO,2001,2.886,False
Laos,LAO,2002,2.883,False
Laos,LAO,2003,2.884,False
Laos,LAO,2004,2.884,False
Laos,LAO,2005,2.882,False
Laos,LAO,2006,2.879,False
Laos,LAO,2007,2.874,False
Laos,LAO,2008,2.871,False
Laos,LAO,2009,2.866,False
Laos,LAO,2010,2.868,False
Laos,LAO,2011,2.868,False
Laos,LAO,2012,2.871,False
Laos,LAO,2013,2.876,False
Laos,LAO,2014,2.883,False
Laos,LAO,2015,2.891,False
Laos,LAO,2016,2.9,False
Laos,LAO,2017,2.912,False
Malaysia,MYS,1990,3.222,True
Malaysia,MYS,1991,3.224,True
Malaysia,MYS,1992,3.227,True
Malaysia,MYS,1993,3.227,True
Malaysia,MYS,1994,3.228,True
Malaysia,MYS,1995,3.228,True
Malaysia,MYS,1996,3.225,True
Malaysia,MYS,1997,3.218,True
Malaysia,MYS,1998,3.212,True
Malaysia,MYS,1999,3.209,True
Malaysia,MYS,2000,3.212,True
Malaysia,MYS,2001,3.239,True
Malaysia,MYS,2002,3.289,True
Malaysia,MYS,2003,3.344,True
Malaysia,MYS,2004,3.392,True
Malaysia,MYS,2005,3.412,True
