country,code,year,disorder,prevalence
Malaysia,MYS,1990,Depression,3.222
Malaysia,MYS,1991,Depression,3.224
Malaysia,MYS,1992,Depression,3.227
Malaysia,MYS,1993,Depression,3.227
Malaysia,MYS,1994,Depression,3.228
Malaysia,MYS,1995,Depression,3.228
Malaysia,MYS,1996,Depression,3.225
Malaysia,MYS,1997,Depression,3.218
Malaysia,MYS,1998,Depression,3.212
Malaysia,MYS,1999,Depression,3.209
Malaysia,MYS,2000,Depression,3.212
Malaysia,MYS,2001,Depression,3.239
Malaysia,MYS,2002,Depression,3.289
Malaysia,MYS,2003,Depression,3.344
Malaysia,MYS,2004,Depression,3.392
Malaysia,MYS,2005,Depression,3.412
Malaysia,MYS,2006,Depression,3.411
Malaysia,MYS,2007,Depression,3.404
Malaysia,MYS,2008,Depression,3.395
Malaysia,MYS,2009,Depression,3.39
Malaysia,MYS,2010,Depression,3.387
Malaysia,MYS,2011,Depression,3.389
Malaysia,MYS,2012,Depression,3.399
Malaysia,MYS,2013,Depression,3.415
Malaysia,MYS,2014,Depression,3.435
Malaysia,MYS,2015,Depression,3.461
Malaysia,MYS,2016,Depression,3.49
Malaysia,MYS,2017,Depression,3.521
Malaysia,MYS,1990,Anxiety,4.206
Malaysia,MYS,1991,Anxiety,4.204
Malaysia,MYS,1992,Anxiety,4.204
Malaysia,MYS,1993,Anxiety,4.207
Malaysia,MYS,1994,Anxiety,4.212
Malaysia,MYS,1995,Anxiety,4.218
Malaysia,MYS,1996,Anxiety,4.241
Malaysia,MYS,1997,Anxiety,4.291
Malaysia,MYS,1998,Anxiety,4.351
Malaysia,MYS,1999,Anxiety,4.406
Malaysia,MYS,2000,Anxiety,4.436
Malaysia,MYS,2001,Anxiety,4.448
Malaysia,MYS,2002,Anxiety,4.46
Malaysia,MYS,2003,Anxiety,4.47
Malaysia,MYS,2004,Anxiety,4.478
Malaysia,MYS,2005,Anxiety,4.481
Malaysia,MYS,2006,Anxiety,4.483
Malaysia,MYS,2007,Anxiety,4.484
Malaysia,MYS,2008,Anxiety,4.484
Malaysia,MYS,2009,Anxiety,4.484
Malaysia,MYS,2010,Anxiety,4.482
Malaysia,MYS,2011,Anxiety,4.476
Malaysia,MYS,2012,Anxiety,4.464
Malaysia,MYS,2013,Anxiety,4.447
Malaysia,MYS,2014,Anxiety,4.425
Malaysia,MYS,2015,Anxiety,4.4
Malaysia,MYS,2016,Anxiety,4.371
Malaysia,MYS,2017,Anxiety,4.341
